Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
1.jpg,DefectFree,503.1030637254902,562.6911956939639,510.2476409313725,600.3880661284123,0.06562931977360914,0.0630950110914469,0.0772345923351939,0.05884775412595598,16.95542279411765,17.95470972702807,16.76222426470588,18.692103037293354,8.7714394584567,8.813118765548273,8.777028951796856,8.80504783627518,0.00020834365838860055,0.0002008334120449636,0.000214271882734405,0.00019643691296090103,0.014434114395715469,0.01417157055675071,0.01463802864918651,0.014015595348072125,0.5057670631663388,0.4468776063773078,0.5005616224112168,0.40984233431459643
10.jpg,DefectFree,309.53509497549027,532.7006843521723,438.4192555147058,433.93656286043824,0.06727070260572125,0.04998832833898681,0.058354901623796446,0.06304185619848707,14.141161151960787,18.730703575547867,16.84468443627451,16.45427143406382,8.815652979841396,8.992676563215301,8.911403349690696,8.910697690143481,0.00017774512244389182,0.00014590159257648073,0.0001587914888879878,0.00016246683579689643,0.013332108702073046,0.012078973159026422,0.012601249497093047,0.012746247910538083,0.7818808127978962,0.6235791686066283,0.6908789112042322,0.6933755482742084
11.jpg,DefectFree,408.10585171568636,429.1233986928105,264.6890318627452,444.40808919646287,0.08377841922674058,0.07005469818505018,0.10509426447680324,0.07115687831256283,14.676072303921572,15.573194925028835,11.616973039215688,15.795309496347556,8.896659027685004,8.935118713719767,8.710310790336417,8.948873575823487,0.0001745276944264226,0.00016274709354533593,0.0002157288888288159,0.0001607806774698933,0.01321089302153426,0.01275723690872502,0.014687712171363377,0.012679932076706613,0.7470946127649969,0.7332816130211962,0.8357343787518597,0.7237992261586138
12.jpg,DefectFree,280.5850949754902,251.3496347558632,167.46449142156865,320.5321337946944,0.11364410822031872,0.10095586888754986,0.14465742152363428,0.09031769456135082,11.894592524509806,11.51938485198001,8.97306985294118,13.206551326412923,8.301361174333351,8.291328213033895,8.108506996670052,8.39018336653287,0.0004544075595924646,0.0004263399121474737,0.0005265266626718091,0.0003776868122617497,0.021316837466952374,0.0206480001972945,0.022946168801606274,0.0194341661066728,0.6868054860735305,0.7190767415600737,0.8138401541114428,0.641774007607453
13.jpg,DefectFree,476.8418198529412,515.4504575163398,416.2774203431373,485.81871587850827,0.08079363530815344,0.07401603131889425,0.09506183227619468,0.08134236045624023,15.678860294117646,16.567443291041908,14.340226715686278,15.774363706266824,8.760351774471069,8.787578479928527,8.669801823015835,8.742277363327018,0.00023416791224378843,0.00022404904155841045,0.0002682276883064808,0.0002393843434954852,0.01530254593993393,0.01496826782090735,0.01637765820581443,0.015472050397264262,0.6158472946312836,0.58371458796338,0.6641472546714103,0.6076654233874377
14.jpg,DefectFree,463.6674479166666,433.64069204152247,407.7232230392157,506.724982698962,0.0777882940289189,0.07990028128902416,0.09700483082250069,0.07170706103820122,15.995542279411765,15.389434832756635,14.372120098039217,16.853517877739332,8.63936573200402,8.6156842572534,8.560748472861274,8.664317083708136,0.0002450479392316056,0.00025459193304086606,0.00028448765573937907,0.0002347567795842282,0.015654007130176145,0.015955937234799655,0.01686676186288818,0.01532177468781695,0.4904328371500919,0.5233062954489744,0.5532890584170318,0.4429716020958867
15.jpg,DefectFree,131.8948835784314,128.94197616301423,118.82224264705884,136.1441906958862,0.14457906277559338,0.1328735494903961,0.14629611855577646,0.13021242017941068,8.197549019607845,8.28167627835448,7.828799019607844,8.48433679354095,7.863715102719432,7.869630802390836,7.825874129204136,7.888613467741717,0.0005868525580230562,0.0005503305518934322,0.0005854573849300752,0.00054217907198914,0.024225039897243845,0.023459125130606048,0.0241962266671908,0.023284739036311744,0.7722782893625881,0.7771456704595346,0.7957635521745678,0.7647079394025421
16.jpg,DefectFree,346.16401654411766,516.7822068435216,409.1165134803922,411.77557862360624,0.07142460344281346,0.06147911116685303,0.07568197275238321,0.07674515614824703,14.580070465686273,17.716924259900036,15.501715686274514,15.354540561322565,9.112747154740022,9.216677272799721,9.11996542470035,9.13298633671363,0.00013348442643754805,0.00011851485269986801,0.0001336976153627812,0.00013421969280735335,0.011553546054677242,0.010886452714262255,0.01156276849905684,0.011585322300538443,0.8701841382193579,0.80602504492745,0.8475992006176678,0.8454439496843337
17.jpg,DefectFree,428.74607843137255,558.2084429065745,402.2380055147059,405.92150711264895,0.07365538537068526,0.05721310261108802,0.09189822266703292,0.0672058095976286,15.57683823529412,18.40759707804691,14.712699142156863,15.335209534794311,8.600507473308229,8.670646915086706,8.553684369401429,8.572474069765054,0.00025124438035401057,0.00022114760522266822,0.00027530316708867993,0.00025240947016947463,0.01585069021695934,0.014871032419528519,0.01659226226554655,0.015887399729643446,0.50692532145721,0.35766168733267817,0.5388919885553068,0.5328893239239803
18.jpg,DefectFree,341.6418045343138,318.38655901576317,231.18481924019605,413.80430603614,0.08667438044556047,0.08136672903881659,0.11767165975015755,0.06701048421446897,13.700444240196079,13.378762014609768,10.880039828431373,15.661191849288738,8.546480279259244,8.527951508815447,8.360583263684292,8.608342223275002,0.0002748814824451534,0.0002756035777798768,0.0003371563493082589,0.000244472026773484,0.01657955012794839,0.016601312531841474,0.018361817701639967,0.015635601260376396,0.6289635408608555,0.6540676050152164,0.7499856002485561,0.5503953174124846
